,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-L5-A8NG-01A,4.315802705,3.309180471,4.021102707,4.151451352,5.261048783,5.322142399,5.004868584,4.506925914,5.963739905,5.059406494,3.661424577,6.528285262,5.869519523,6.164531131,0.212570192,5.671772403,3.394331799,8.138138017,6.654769553,6.511860321,5.199268081,6.395913173,5.151687334,6.343526799,4.049633498,Tumor
TCGA-LN-A9FO-01A,4.386445941,3.809261407,4.380258832,5.130495787,5.259883889,6.873637447,4.943044267,4.692666013,4.909638174,5.035583788,4.155590517,6.563807763,6.876718201,6.699635399,4.774871073,5.374299156,3.691742304,8.46519595,7.763098181,7.205982524,5.838799911,6.415846225,5.345299849,6.850784491,4.63558769,Tumor
TCGA-L5-A8NM-01A,4.079490164,3.597168199,4.289297814,4.51102067,5.429818226,5.495653881,4.945431929,4.435088599,5.04149978,5.077668633,4.382385433,6.1908083,6.291554394,6.417467712,0.061442597,5.886833833,1.267427024,8.440108494,7.325579033,6.634450775,4.691474922,6.871193363,5.553808771,6.64968073,3.479602571,Tumor
TCGA-L5-A88W-01A,4.047902849,3.034988051,4.112774464,3.646296682,5.967757032,5.047239454,3.993371069,3.845983902,5.043272197,4.398200656,3.930856227,5.886394516,6.068441331,5.279862092,0.077472883,5.9547747,3.142295628,7.731497085,7.246738745,5.947162482,3.544114288,5.893761287,5.057112849,6.42421893,3.534226677,Tumor
TCGA-L5-A8NT-01A,3.938308091,3.388307609,3.360548467,3.635482962,5.00512846,5.221962373,4.655338647,4.603061307,6.471547746,5.203200487,3.439174956,6.072380752,5.993908233,5.990705981,0.372316986,6.12206863,3.498046262,7.942769299,6.676390335,6.231571394,4.717588049,5.503123656,5.2501461,6.034349748,4.128541284,Tumor
TCGA-L5-A891-01A,3.581604877,2.451052302,2.917829893,4.111681254,6.313940657,5.186011611,4.314142402,4.127005268,4.712429635,4.431362305,2.67172611,5.269082701,6.606539177,5.343219625,3.640721862,5.82425393,1.900633926,7.962663239,7.214081929,6.35518069,4.443743593,6.57002916,5.569884577,6.414836819,2.981480426,Tumor
TCGA-VR-A8EU-01A,3.110967461,2.996851058,3.076529944,4.292027461,5.404759282,5.674708494,4.644487438,4.913331746,4.867736394,4.688863533,3.819403288,5.914037724,5.841159279,5.232495425,0.061948757,7.085377829,5.118593691,8.239771719,7.413952118,6.667360321,4.582873121,5.849357193,5.451300604,5.611769761,4.543497967,Tumor
TCGA-JY-A93F-01A,3.677400749,3.074397617,4.402049717,3.124415933,5.659704364,4.715516208,4.414246005,3.655628455,5.388756231,4.938378288,4.130407199,5.3310717,6.130494066,5.52578739,2.218904156,6.040876403,0.060582649,7.750334866,7.014526282,5.837285868,4.154752898,5.603625755,5.09645027,6.327014815,2.958026293,Tumor
TCGA-L5-A8NI-01A,3.564380728,3.357932824,4.294926031,3.759136908,5.585243665,5.583325427,4.651601786,3.799525303,5.235768983,5.036786613,3.419514353,6.244402232,5.929592535,5.701747824,0.326389108,5.631481058,2.224059664,8.38151927,7.147043547,6.760214515,4.42936818,6.940288883,5.546926516,5.867032804,3.852476048,Tumor
TCGA-R6-A6KZ-01A,3.887825281,3.910061666,3.691729457,4.108939021,5.704401519,5.360395254,4.633971152,4.656888577,6.497459933,5.274836472,4.331792532,6.505116974,5.854976965,5.969445362,5.718536971,6.510272,3.809600968,8.726184128,6.982912398,6.753262768,3.874496033,6.477651592,5.474709366,5.592586853,3.473052814,Tumor
