"gene_short_name","p_value","morans_test_statistic","morans_I","status","q_value"
"Rictor",4.9527136833444e-10,6.11092667335066,0.0934857159347732,"OK",1.79352981210294e-09
"Osmr",7.32051439022731e-24,10.0039679457363,0.154402954714161,"OK",4.92292734458137e-23
"Lifr",6.42445227034254e-176,28.253617684562,0.440310601487164,"OK",4.22007902720222e-174
"Egflam",5.18669607594422e-61,16.4371193021929,0.249875962261265,"OK",8.49962994845259e-60
"Wdr70",1.64400957966284e-05,4.15254232534372,0.0627779151708537,"OK",4.24443468261877e-05
"Nipbl",1.62489383403733e-47,14.4321112727852,0.22399210648244,"OK",2.03346842510395e-46
"Slc1a3",0.000288166763275384,3.44251423742135,0.0492639092337069,"OK",0.00065635408495555
"Il7r",4.19588523631107e-08,5.35849576225102,0.0506863232332773,"OK",1.33091975058865e-07
"Prlr",4.4746626977238e-13,7.14576929955184,0.109267950132681,"OK",1.9442240825611e-12
"Dnajc21",9.67866809567981e-07,4.76002043207475,0.0722860292551108,"OK",2.78619646659659e-06
"Brix1",3.99470345089591e-05,3.94471762170157,0.0594556904563353,"OK",9.9582935666209e-05
"Rad1",0.000183191546183701,3.56318441835914,0.0533265916838103,"OK",0.000426679531865328
"Rai14",1.26657861894179e-13,7.31713778509949,0.112357931586247,"OK",5.66286500278168e-13
"Adamts12",1.30229142200559e-59,16.2405780429559,0.252291744504104,"OK",2.07089610396149e-58
"Npr3",8.10165394185133e-95,20.6255041966558,0.321002052095897,"OK",2.29320997394075e-93
"Sub1",2.16471825115843e-37,12.7243716393918,0.197192071891716,"OK",2.17984047438774e-36
"Zfr",1.13043207669472e-11,6.68810014080634,0.102615323165872,"OK",4.52638029063361e-11
"Golph3",5.85695658755602e-09,5.70383840851135,0.0871330275426774,"OK",1.97618335836741e-08
"Basp1",1.63770978731966e-13,7.28256091572555,0.111408867427397,"OK",7.28453313399787e-13
"Myo10",1.82752381995025e-123,23.6022429897981,0.367521127531294,"OK",7.27644266725971e-122
"Retreg1",0.000321259494857093,3.4130001832075,0.0506167605365187,"OK",0.000727471682317851
"Zfp622",8.83743372942725e-07,4.77833960411285,0.0724546185881444,"OK",2.55537088223855e-06
"Fbxl7",5.16905433831651e-11,6.46192243974549,0.0983088880258719,"OK",1.98646847541129e-10
"Fam105a",1.41903170993838e-18,8.717741364405,0.133712699140757,"OK",7.91525820864233e-18
"Trio",8.92714796144063e-09,5.63160235821885,0.0859179162995452,"OK",2.97533375002585e-08
"Dap",4.26102667441606e-06,4.45163096132247,0.0675530263969538,"OK",1.16194890991959e-05
"Ankrd33b",1.9087169044937e-08,5.49909594894054,0.0788569042123798,"OK",6.22041129770943e-08
"March6",5.49270816605541e-05,3.86772785923763,0.0582877706733283,"OK",0.000135237198685989
"Cmbl",1.20486298041547e-12,7.00845006376565,0.107598967566759,"OK",5.11795549225322e-12
"Cct5",2.99468717286679e-44,13.9040052752044,0.215694218674595,"OK",3.51593438214103e-43
"Snhg18",1.42528660422295e-66,17.1958879217018,0.267307443887962,"OK",2.62279690952043e-65
"Sema5a",8.34150380771105e-58,15.9833867939035,0.247232449928529,"OK",1.28447607594902e-56
"Sdc2",1.21080785246008e-50,14.9205793708869,0.231628112914068,"OK",1.6221907613682e-49
"Cpq",1.44449055565525e-52,15.2132369127408,0.236240295158452,"OK",2.00963619038792e-51
"Mtdh",4.85273349597722e-45,14.0336294113311,0.21751115733811,"OK",5.82386915833405e-44
"Laptm4b",4.88166256246397e-32,11.7225962292377,0.181525056407039,"OK",4.28397535357605e-31
"Matn2",9.56690440869179e-46,14.1482958083007,0.219448912243382,"OK",1.16266641556997e-44
"Rpl30",7.54615974694179e-69,17.4970353189837,0.269546531450241,"OK",1.43616888680183e-67
"Rida",1.42117809775494e-08,5.55087971143966,0.0847524321339821,"OK",4.67559184823519e-08
"Stk3",6.38770698127291e-12,6.77115971929725,0.103850099763565,"OK",2.60324142105908e-11
"Cox6c",1.44218624430641e-35,12.3920871691692,0.191233995633516,"OK",1.37996038422632e-34
"Polr2k",8.30706363748417e-17,8.24429179481546,0.12697992920073,"OK",4.33102366739295e-16
"Ankrd46",1.86990123713413e-09,5.89530927585239,0.0899108601463042,"OK",6.52654475718663e-09
"Pabpc1",1.85803776853517e-27,10.7929639932102,0.166811187876557,"OK",1.41102107222222e-26
"Ywhaz",3.6014667764095e-105,21.7480815835357,0.33848035417433,"OK",1.16807572448215e-103
"Zfp706",1.01339861997342e-25,10.4191863146135,0.161111427795416,"OK",7.24694061357196e-25
"Ncald",5.92190261601869e-07,4.85823288733387,0.0738367119934963,"OK",1.73326151393456e-06
"Ubr5",0.000263396745876858,3.46674903473158,0.0520954293778494,"OK",0.000602934941892505
"G930009F23Rik",0.000266798737891807,3.46329779821649,0.0368259431533699,"OK",0.0006101840387101
"Atp6v1c1",1.26578691853351e-08,5.57108526716782,0.0848362963686081,"OK",4.17583614065049e-08
"Cthrc1",6.37304436006018e-17,8.27592623781737,0.124262975752729,"OK",3.3383430214474e-16
"Dcaf13",0.000179094627965243,3.5691149442646,0.053593472902327,"OK",0.000418138147594916
"Rims2",9.96741315139389e-20,9.01362897716505,0.106613402772683,"OK",5.8160677639018e-19
"Zfpm2",2.50396061909956e-13,7.22508401844727,0.111011727915681,"OK",1.10179929107241e-12
"Oxr1",2.98739076953071e-12,6.8802495177309,0.105562401570314,"OK",1.2425246994404e-11
"Angpt1",8.10381551721188e-13,7.06374306280722,0.108005891945257,"OK",3.4764453009632e-12
"Eif3e",2.81473793827892e-92,20.34055072207,0.316595670734072,"OK",7.72836688238558e-91
"Emc2",1.1194428369344e-16,8.20854303330058,0.126337157566366,"OK",5.79756689467554e-16
"Eny2",2.57031455975042e-06,4.55896518623486,0.069248380181479,"OK",7.13910027942811e-06
"Pkhd1l1",0,38.1278741683241,0.585562808249766,"OK",0
"Ebag9",2.73963029296075e-06,4.5455476243373,0.0687887923838215,"OK",7.59681924297148e-06
"Eif3h",2.0138813702008e-77,18.58788133604,0.289092356940416,"OK",4.41578946074452e-76
"Utp23",7.59452781441328e-06,4.32592869284805,0.0647549373047802,"OK",2.02347439696707e-05
"Rad21",1.4537415739838e-05,4.18059421324447,0.063288944368308,"OK",3.77008975908375e-05
"Aard",2.35756340994218e-106,21.8728200522184,0.340502981504507,"OK",7.79247285901909e-105
"Ext1",3.7562101274711e-18,8.60680634428274,0.132639931183458,"OK",2.05541930630826e-17
"Samd12",2.52122714474122e-35,12.3472189579118,0.165368792634293,"OK",2.39624323500191e-34
"Tnfrsf11b",3.32230718681448e-266,34.8372366186395,0.54371192181087,"OK",4.65961065624575e-264
"Colec10",0,45.5148447692278,0.711280522080835,"OK",0
"Enpp2",9.107545506207e-21,9.27231376874561,0.140765970121616,"OK",5.51054288537235e-20
