"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SRSF5",7.14664276362921e-163,0.335851270347392,0.838,0.773,1.65566272904998e-158,"0"
"TRIB1",5.43179632859848e-162,-0.419047742704623,0.017,0.125,1.25838425544641e-157,"0"
"TIMP2",1.56974807238281e-161,-0.302213739338294,0.008,0.105,3.63663535928926e-157,"0"
"RASGRP1",1.78833205980809e-161,0.337046501599778,0.432,0.242,4.14302888295739e-157,"0"
"TYROBP",3.02939441001658e-161,-0.693855011455767,0.066,0.177,7.01819802968541e-157,"0"
"SMIM14",3.12011897172475e-161,-0.356820289162479,0.055,0.19,7.22837962179473e-157,"0"
"ERN1",3.17016757667551e-161,0.282968277696482,0.32,0.15,7.34432722488414e-157,"0"
"SLFN5",6.1357718605522e-161,0.363688933730006,0.503,0.301,1.42147426693413e-156,"0"
"SPINT2",3.75486107052973e-160,-0.308262327364548,0.035,0.161,8.69888664209622e-156,"0"
"TRBC2",1.02194923510101e-157,0.364427027483579,0.721,0.53,2.36754979295852e-153,"0"
"HLA-DRB5",4.65966369480416e-156,-0.63405040136817,0.35,0.375,1.07950428817528e-151,"0"
"HIST1H2BN",1.6931825959421e-155,0.2741117814968,0.218,0.083,3.92259612001906e-151,"0"
"EVL",1.72473129217668e-154,0.363315242464136,0.639,0.451,3.99568498458572e-150,"0"
"PDE4B",1.72521295967675e-154,-0.741034725655422,0.306,0.46,3.99680086368312e-150,"0"
"SYAP1",2.54043046109532e-154,-0.428885819877014,0.219,0.392,5.88541524921952e-150,"0"
"OTUD6B-AS1",3.84211162008985e-154,0.376501250454847,0.427,0.265,8.90101999026216e-150,"0"
"AL627171.1",2.37033727605383e-152,0.310562907149367,0.255,0.109,5.4913603674339e-148,"0"
"PRR3",2.44948625232664e-152,0.296677667794743,0.25,0.105,5.67472480076513e-148,"0"
"CTSS",3.25730295543182e-152,-0.848119502227272,0.302,0.445,7.54619375684889e-148,"0"
"KLF2",3.48345955122565e-152,-0.755468734999939,0.455,0.632,8.07013074232447e-148,"0"
"PHYH",3.51128937586964e-152,0.317845610249419,0.306,0.154,8.13460409707719e-148,"0"
"NEAT1",4.41780403223448e-152,-1.02414237688339,0.958,0.869,1.02347266014776e-147,"0"
"GRASP",1.38410602956669e-151,-0.327873029787211,0.05,0.179,3.20655843869716e-147,"0"
"HLA-DPA1",1.41166292580577e-151,-0.660880607299258,0.434,0.425,3.27039950021422e-147,"0"
"LCP2",4.95896573087868e-151,-0.263328660541855,0.433,0.317,1.14884359087266e-146,"0"
"IRS2",9.28183141556867e-150,-0.344622640797285,0.097,0.251,2.15032188404479e-145,"0"
"MS4A1",5.83378228094612e-149,-0.543223855513854,0.114,0.186,1.35151234102679e-144,"0"
"MNDA",4.00988845240868e-148,-0.865584048885303,0.022,0.118,9.28970857769519e-144,"0"
"MZF1-AS1",1.32089828974244e-147,0.26590414202682,0.228,0.09,3.06012506784631e-143,"0"
"ILF3-DT",2.44810334503437e-147,0.330601708824045,0.446,0.258,5.67152101944112e-143,"0"
"APP",7.95777106309897e-147,-0.259204321256154,0.021,0.128,1.84357682218814e-142,"0"
"IGKC",4.10146322664473e-146,-3.6947715053611,0.227,0.378,9.50185985716784e-142,"0"
"HLA-F",5.45587045164013e-146,0.328910963602094,0.713,0.584,1.26396150753147e-141,"0"
"CYTIP",1.8373129132839e-145,-0.452620601544676,0.418,0.554,4.25650282620482e-141,"0"
"RBL2",3.54566023296477e-144,0.333535304934156,0.449,0.274,8.21423106170948e-140,"0"
"CCL3L1",4.48965350657711e-144,-0.276332926041688,0.167,0.076,1.04011802786872e-139,"0"
"HSP90AA1",6.52619714981032e-144,0.525428666127632,0.999,0.995,1.51192409369656e-139,"0"
"IL6ST",1.30834593031561e-143,-0.373081077473537,0.143,0.3,3.03104501676216e-139,"0"
"KRT18",1.98462788377449e-142,-0.957886104360775,0.017,0.113,4.59778741834035e-138,"0"
"GADD45G",7.60846855879263e-142,0.502203973863332,0.264,0.129,1.76265391101549e-137,"0"
"DYNLL1",1.04130052288049e-140,0.368389692705335,0.688,0.67,2.41238092135722e-136,"0"
"N4BP2L2",4.22720440490913e-140,0.342487660165739,0.753,0.657,9.79316444485299e-136,"0"
"GCA",7.69670936875065e-140,-0.447432634194331,0.042,0.155,1.78309665945846e-135,"0"
"HLA-DPB1",2.47775846113541e-138,-0.646157305587034,0.538,0.484,5.7402230269124e-134,"0"
"TOB1",6.33908413708401e-138,0.404982975752844,0.509,0.364,1.46857562203825e-133,"0"
"HLA-DMB",2.15694512641667e-137,-0.324676200810365,0.063,0.188,4.99699477436949e-133,"0"
"SLC25A37",1.27119185268853e-136,-0.614099532091522,0.103,0.227,2.94497016512352e-132,"0"
"HLA-DMA",6.2570996636678e-135,-0.361488869775259,0.109,0.241,1.44958227908192e-130,"0"
"HLA-DQA2",3.94292941814936e-134,-0.450511036481461,0.135,0.204,9.13458458302661e-130,"0"
"HNRNPDL",7.43585760563654e-134,0.280204420312383,0.797,0.755,1.72266513149782e-129,"0"
"AAK1",1.10435260898297e-133,0.276053195208005,0.653,0.462,2.55845368923084e-129,"0"
"RAB11FIP1",1.51916536180707e-133,-0.409034953863071,0.212,0.354,3.51945039369843e-129,"0"
"SLF1",2.88179841974068e-133,0.260773977692883,0.231,0.102,6.67626239901323e-129,"0"
"PTPN4",5.00794097215803e-133,0.268677462172479,0.339,0.18,1.16018968501985e-128,"0"
"LYAR",2.93306356157586e-132,0.264452592525133,0.293,0.144,6.79502835310279e-128,"0"
"NFIL3",4.07782727607801e-132,-0.253991131480266,0.028,0.131,9.44710245048994e-128,"0"
"SERTAD1",2.29813129851295e-131,0.405265199474524,0.467,0.33,5.32408077926495e-127,"0"
"MAF",1.7884477061714e-130,0.25767804245258,0.365,0.202,4.14329680088728e-126,"0"
"LAPTM4A",2.08688822869332e-130,-0.287585959128436,0.124,0.267,4.83469395941381e-126,"0"
"SNX2",5.29695457736714e-130,-0.286402585601945,0.107,0.244,1.22714546693865e-125,"0"
"CLEC2D",5.87065222757361e-130,0.325361459909932,0.626,0.444,1.36005400156198e-125,"0"
"MYADM",6.88132862179195e-130,0.460703358972381,0.541,0.414,1.59419740181054e-125,"0"
"H3F3A",1.56316797324309e-129,-0.683729126531452,0.94,0.961,3.62139124361228e-125,"0"
"SLC20A1",5.24653858989183e-129,0.316229890661816,0.421,0.252,1.21546559512024e-124,"0"
"AMD1",1.00661129030192e-127,0.339077188402215,0.7,0.609,2.33201637624245e-123,"0"
"DDIT4",2.08427007345093e-127,0.409957763748296,0.642,0.531,4.82862847916378e-123,"0"
"RUNX3",3.34648319776068e-127,0.320990264721849,0.572,0.39,7.75279762425217e-123,"0"
"ETS2",6.96057783486914e-127,-0.42547165897857,0.06,0.162,1.61255706700413e-122,"0"
"RASGEF1B",1.1030728881576e-126,-0.351703854485165,0.107,0.249,2.55548895999472e-122,"0"
"APLP2",9.28021119640182e-126,-0.342211805608431,0.114,0.245,2.14994652787041e-121,"0"
"IER5",2.16261132685948e-125,0.396819426793597,0.625,0.501,5.01012166093535e-121,"0"
