,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,TRDMT1,DNMT3A,DNMT3B,NOP2,TET1,TET2,TET3,ALYREF,XPD
GSE76427_GSM2011356,6.17677416,2.062668169,3.681613031,4.642740586,4.220683311,3.38602661,5.686272292,1.603658929,3.024192331,2.837920283,3.847319752,1.758394511,1.898717422,2.028113749,5.702880365,2.702432137
GSE76427_GSM2011357,5.868807664,2.693144539,2.81385608,4.801876285,6.058385082,1.117543785,3.889224585,1.545292137,3.120385955,1.710214543,6.297318827,0.851805546,1.936279461,2.291772126,5.056462787,5.22916729
GSE76427_GSM2011358,5.345644451,2.62301504,2.773183322,4.552493749,6.221688666,1.270874398,3.949495208,1.498622191,2.501572442,1.659377185,6.394577114,0.81999318,1.574025715,2.348305806,5.248496686,4.253168386
GSE76427_GSM2011359,5.767571193,2.835499098,3.248802556,4.822929965,4.858146229,1.315519806,3.303965496,1.715814363,2.389528124,1.795520062,3.851110809,2.184739894,2.389972219,2.651717174,5.093737155,4.435414641
GSE76427_GSM2011360,5.564576501,2.483872379,3.110672051,4.931692551,4.377850198,1.467904408,5.172245096,1.377455152,4.353638984,2.155555872,4.069178222,1.822020768,1.647779583,3.120283191,5.870473292,3.788942267
GSE76427_GSM2011361,5.749914607,2.234112335,3.396769843,5.069451483,3.619453681,1.407471055,4.712684292,1.558164974,3.456920842,2.295759877,4.245910315,1.478480767,2.397010513,2.295807302,6.940911653,2.380332792
GSE76427_GSM2011362,5.741363545,2.893145892,2.859666955,3.970026768,6.470512556,0.749574973,4.146552122,1.311695863,3.170283698,2.232163683,5.9877561,1.543736087,1.783273362,2.385765341,5.734037316,4.937191239
GSE76427_GSM2011363,5.514721082,2.54906693,3.464687665,5.021525938,3.876606565,1.789249034,4.500245669,1.698867536,3.453003698,4.156005692,4.268799235,1.365549027,1.794835696,2.740365386,6.242940841,3.1415789
GSE76427_GSM2011364,5.663346825,3.22011243,4.48216816,4.574668706,4.184189357,2.08250137,4.167655915,1.054520553,3.177152475,2.102579293,2.667972845,1.547053972,1.781515754,3.020946156,6.223451393,3.445482247
GSE76427_GSM2011365,5.352058382,3.58194214,3.35935834,3.536964064,5.487089545,1.311281022,4.130466823,1.56338892,2.704128407,1.599097163,5.120269055,1.120605159,2.289913335,2.408999977,5.478580727,4.814861276
GSE76427_GSM2011366,5.571743771,2.659360231,3.896545056,4.771102431,4.520756905,1.317878673,4.317597107,1.447653863,2.225127006,1.636707226,5.980416528,0.815831669,1.961216375,2.328679895,4.942005362,4.910185594
GSE76427_GSM2011367,6.018580517,2.681754915,2.861396346,4.275921207,5.678740512,3.909525343,4.707436182,1.615814546,2.677030922,1.862672455,3.565450511,1.598350378,1.745250722,2.528710874,5.891782037,2.990065495
GSE76427_GSM2011368,5.284318465,2.225617654,2.952148048,4.43093691,5.167768276,1.243793659,4.461068471,1.052299354,2.196993723,2.58493969,6.304811933,1.457559614,1.987532405,2.589782728,4.958051846,5.823099099
